product_id,product_name,product_price,product_image,product_link,product_store,product_category,product_ratings,rating_count,product_description,fetch_date
164,Apple MacBook Air 13.3 Inches M1 Chip 8GB RAM - 256GB SSD (MGND3),"Rs. 338,999",https://images.priceoye.pk/apple-macbook-air-13-3-inches-m1-chip-8gb-ram-256gb-ssd-mgnd3-pakistan-priceoye-qc4k7-270x270.webp,https://priceoye.pk/laptops/apple/apple-macbook-air-13-3-inches-m1-chip-8gb-ram-256gb-ssd-mgnd3,PriceOye,"Laptops, Apple, Moshi, Targus, Ugreen, Wiwu, Macbook Air, Macbook Pro",5.0,1 Ratings,"{'Display': '13.3 Inches', 'Generation': 'M1', 'Processor': 'Apple M1 Chip', 'Internal Memory': '256GB SSD'}",2023-12-03
165,Apple Macbook Pro 14 inches M1 Chip (MKGP3),"Rs. 443,000",https://images.priceoye.pk/apple-macbook-pro-pakistan-priceoye-i3tk9-270x270.webp,https://priceoye.pk/laptops/apple/apple-macbook-pro,PriceOye,"Laptops, Apple, Moshi, Targus, Ugreen, Wiwu, Macbook Air, Macbook Pro",5.0,1 Ratings,"{'Display': '14 inches', 'Generation': 'M1', 'Processor': 'Apple M1', 'Internal Memory': '512 GB SSD'}",2023-12-03
166,Apple MacBook Pro 13.3 Inches M1 Chip 8GB RAM - 256GB SSD (MYD82),"Rs. 240,000",https://images.priceoye.pk/apple-macbook-pro-13-inches-m1-chip-8gb-ram-256gb-ssd-myd82-pakistan-priceoye-ttk0m-270x270.webp,https://priceoye.pk/laptops/apple/apple-macbook-pro-13-3-inches-m1-chip-8gb-ram-256gb-ssd-myd82,PriceOye,"Laptops, Apple, Moshi, Targus, Ugreen, Wiwu, Macbook Air, Macbook Pro",5.0,1 Ratings,"{'Display': '13.3', 'Generation': 'M1', 'Processor': 'Apple M1 Chip', 'Internal Memory': '256GB SSD'}",2023-12-03
167,Apple MacBook Air 13.3 Inches  Core i3 8GB RAM - 256GB SSD (MWTK2 ),"Rs. 155,000",https://images.priceoye.pk/apple-macbook-air-13-3-inches-core-i3-8gb-ram-256gb-ssd-mwtk2-pakistan-priceoye-y79v5-270x270.webp,https://priceoye.pk/laptops/apple/apple-macbook-air-13-3-inches-core-i3-8gb-ram-256gb-ssd-mwtk2,PriceOye,"Laptops, Apple, Moshi, Targus, Ugreen, Wiwu, Macbook Air, Macbook Pro",5.0,1 Ratings,"{'Display': '13.3 Inches', 'Generation': '10th Generation', 'Processor': 'Intel Core i3', 'Internal Memory': '256GB SSD'}",2023-12-03
168,Apple MacBook Pro 16 inches M1 Chip (MK193),"Rs. 671,900",https://images.priceoye.pk/apple-macbook-pro-16-mk193-pakistan-priceoye-y2kbu-270x270.webp,https://priceoye.pk/laptops/apple/apple-macbook-pro-16-mk193,PriceOye,"Laptops, Apple, Moshi, Targus, Ugreen, Wiwu, Macbook Air, Macbook Pro",5.0,1 Ratings,"{'Display': '16.2 Inches', 'Generation': 'M1', 'Processor': 'Apple M1', 'Internal Memory': '1 TeraByte SSD'}",2023-12-03
169,Apple MacBook Air  13.6 inches M2  Chip (MLXY3),"Rs. 294,990",https://images.priceoye.pk/apple-macbook-air-13-6-inches-pakistan-priceoye-k0xsr-270x270.webp,https://priceoye.pk/laptops/apple/apple-macbook-air-13-6-inches,PriceOye,"Laptops, Apple, Moshi, Targus, Ugreen, Wiwu, Macbook Air, Macbook Pro",5.0,1 Ratings,"{'Display': '13.6 inches', 'Generation': 'M2', 'Processor': 'Apple M2 8-core GPU', 'Internal Memory': '256 GB SSD'}",2023-12-03
170,Samsung Galaxy A14,"Rs. 50,999",https://images.priceoye.pk/samsung-galaxy-a14-pakistan-priceoye-dl6gq-270x270.webp,https://priceoye.pk/mobiles/samsung/samsung-galaxy-a14,PriceOye,"MobilePhones, Samsung",5.0,114 Ratings,"{'Display': '6.6 inches', 'RAM': '4/6 GB', 'Battery': '5000 mAh', 'Back Camera': '50 MP + 5 MP + 2 MP'}",2023-12-03
171,Samsung Galaxy A04,"Rs. 24,999",https://images.priceoye.pk/samsung-galaxy-a04-pakistan-priceoye-ykzl2-270x270.webp,https://priceoye.pk/mobiles/samsung/samsung-galaxy-a04,PriceOye,"MobilePhones, Samsung",5.0,211 Ratings,"{'Display': '6.5 inches', 'RAM': '3/4 GB', 'Battery': '5000 mAh', 'Back Camera': '50 MP + 2 MP'}",2023-12-03
172,Samsung Galaxy Z Fold 4,"Rs. 319,999",https://images.priceoye.pk/samsung-galaxy-z-fold-4-pakistan-priceoye-lt5w4-270x270.webp,https://priceoye.pk/mobiles/samsung/samsung-galaxy-z-fold-4,PriceOye,"MobilePhones, Samsung",5.0,17 Ratings,"{'Display': '7.6 inches', 'RAM': '12 GB', 'Battery': '4400 mAh', 'Back Camera': '50 MP + 10 MP + 12 MP'}",2023-12-03
173,Samsung Galaxy A34,"Rs. 103,499",https://images.priceoye.pk/samsung-galaxy-a34-pakistan-priceoye-flemx-270x270.webp,https://priceoye.pk/mobiles/samsung/samsung-galaxy-a34,PriceOye,"MobilePhones, Samsung",5.0,26 Ratings,"{'Display': '6.6 Inches', 'RAM': '6/8 GB', 'Battery': '5000 mAh', 'Back Camera': '48 MP + 8 MP + 5 MP'}",2023-12-03
